City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Disraeli,CA,45.9001,-71.3491,36.3,97,82,5.84,broken clouds
194,Matara,LK,5.9485,80.5353,77.95,87,100,8.39,overcast clouds
195,Mahebourg,MU,-20.4081,57.7,78.26,88,42,5.77,scattered clouds
196,Aripuana,BR,-9.1667,-60.6333,76.06,95,70,2.33,light rain
197,Strezhevoy,RU,60.7333,77.5889,20.1,95,100,11.45,light snow
198,Pisco,PE,-13.7,-76.2167,72.01,79,3,8.12,clear sky
199,Wanaka,NZ,-44.7,169.15,55.11,73,54,2.06,broken clouds
200,Constitucion,CL,-35.3333,-72.4167,62.85,81,90,6.96,overcast clouds
201,Port Macquarie,AU,-31.4333,152.9167,68.9,87,42,4.72,scattered clouds
202,Pitimbu,BR,-7.4706,-34.8086,80.98,79,83,10.0,light rain
203,Kilindoni,TZ,-7.9139,39.6668,81.21,77,25,11.86,scattered clouds
204,Pangnirtung,CA,66.1451,-65.7125,-8.84,100,100,3.38,light snow
205,Nizwa,OM,22.9333,57.5333,76.32,23,11,3.02,few clouds
206,Hovd,MN,48.0056,91.6419,21.25,35,4,7.72,clear sky
207,Seinajoki,FI,62.7945,22.8282,33.35,60,0,5.75,clear sky
208,Road Town,VG,18.4167,-64.6167,78.84,73,40,11.5,scattered clouds
209,Dikson,RU,73.5069,80.5464,9.43,95,100,19.26,light snow
210,Nagato,JP,34.3833,131.2,48.2,89,100,11.01,overcast clouds
211,Dhidhdhoo,MV,6.8833,73.1,82.6,74,59,11.25,broken clouds
212,Belmonte,BR,-15.8631,-38.8828,78.48,83,57,5.59,broken clouds
213,Naze,JP,28.3667,129.4833,64.72,87,100,8.1,overcast clouds
214,Hamilton,US,39.1834,-84.5333,69.89,38,100,3.0,overcast clouds
215,Guantanamo,CU,20.1444,-75.2092,83.46,51,1,11.25,clear sky
216,Cartagena,CO,10.3997,-75.5144,81.9,71,21,15.48,few clouds
217,Cidreira,BR,-30.1811,-50.2056,69.98,82,100,11.63,light rain
218,Mawlaik,MM,23.6333,94.4167,67.69,35,1,1.1,clear sky
219,Schortens,DE,53.5333,7.95,49.14,66,75,14.97,broken clouds
220,Sisimiut,GL,66.9395,-53.6735,-9.02,79,61,11.97,broken clouds
221,Makarska,HR,43.2969,17.0178,51.93,78,30,2.26,scattered clouds
222,Thompson,CA,55.7435,-97.8558,26.62,89,100,2.57,overcast clouds
223,Bengkulu,ID,-3.8004,102.2655,75.96,86,84,4.14,broken clouds
224,Port Lincoln,AU,-34.7333,135.8667,66.78,81,31,4.23,scattered clouds
225,Pilibhit,IN,28.6333,79.8,68.85,49,7,4.34,clear sky
226,Santa Maria,BR,-29.6842,-53.8069,76.06,67,63,9.19,broken clouds
227,Cabedelo,BR,-6.9811,-34.8339,80.87,80,95,10.11,overcast clouds
228,Harlingen,US,26.1906,-97.6961,82.49,46,0,15.3,clear sky
229,Hasaki,JP,35.7333,140.8333,41.4,56,58,7.27,broken clouds
230,Luwuk,ID,-0.9516,122.7875,77.92,83,96,2.57,overcast clouds
231,Sept-Iles,CA,50.2001,-66.3821,24.06,85,75,4.61,light snow
232,Adrar,MR,20.5022,-10.0711,64.81,26,0,10.2,clear sky
233,Chokurdakh,RU,70.6333,147.9167,-19.35,97,38,9.19,scattered clouds
234,Santo Angelo,BR,-28.2992,-54.2631,76.59,62,25,7.92,scattered clouds
235,Omsukchan,RU,62.5333,155.8,-5.13,92,23,2.73,few clouds
236,Beaufort,MY,5.3473,115.7455,74.16,96,97,2.66,overcast clouds
237,Karlshamn,SE,56.1706,14.8619,34.92,97,22,5.84,few clouds
238,Guerrero Negro,MX,27.9769,-114.0611,67.35,66,2,21.59,clear sky
239,Axim,GH,4.8699,-2.2405,79.66,85,34,5.48,scattered clouds
240,Arys,KZ,42.4252,68.795,46.99,85,100,6.58,overcast clouds
241,Three Hills,CA,51.7001,-113.2686,31.73,99,97,3.44,overcast clouds
242,Lakes Entrance,AU,-37.8811,147.981,64.17,67,100,4.59,overcast clouds
243,Vorontsovka,RU,50.6132,40.3549,16.38,93,96,12.37,overcast clouds
244,San Cristobal,VE,7.7669,-72.225,78.24,52,62,2.44,light rain
245,Ahipara,NZ,-35.1667,173.1667,63.48,83,100,6.93,overcast clouds
246,Lagoa,PT,39.05,-27.9833,57.6,67,100,19.57,overcast clouds
247,Khani,GE,41.9563,42.9566,24.37,98,100,1.14,snow
248,Sobolevo,RU,54.4299,31.8996,13.26,94,89,2.84,overcast clouds
249,Bonavista,CA,48.6499,-53.1147,24.73,45,100,3.24,overcast clouds
250,Khilok,RU,51.3674,110.4676,-6.27,97,47,2.82,scattered clouds
251,Shu,KZ,43.5983,73.7614,41.13,78,100,4.21,overcast clouds
252,Olafsvik,IS,64.8945,-23.7142,31.28,61,97,18.23,light snow
253,Eyemouth,GB,55.8713,-2.0901,40.23,89,100,8.01,overcast clouds
254,Crawfordsville,US,40.0411,-86.8745,71.31,19,0,9.22,clear sky
255,Grand Baie,MU,-20.0182,57.5802,78.46,90,27,5.14,light rain
256,Ust-Nera,RU,64.5667,143.2,-16.64,92,36,4.14,scattered clouds
257,Ananas,HT,19.2466,-71.9557,79.59,53,6,11.72,clear sky
258,Takhtamygda,RU,54.1,123.5667,2.08,82,100,6.69,overcast clouds
259,Janakkala,FI,60.9,24.6,22.68,98,18,2.68,few clouds
260,Awjilah,LY,29.1081,21.2869,55.6,36,0,9.13,clear sky
261,Tevaitoa,PF,-16.7833,-151.5,81.21,67,3,4.54,clear sky
262,Ayan,RU,56.45,138.1667,15.46,94,100,12.97,light snow
263,Vilhena,BR,-12.7406,-60.1458,73.24,91,81,1.95,moderate rain
264,Erzurum,TR,40.0,41.5,11.88,98,95,5.39,overcast clouds
265,Russell,US,32.3502,-85.1999,68.97,66,90,6.26,light rain
266,Fazalpur,PK,32.1833,75.0667,64.74,66,2,3.29,clear sky
267,Mantua,IT,45.1667,10.7833,54.64,76,100,8.99,overcast clouds
268,Jacareacanga,BR,-6.2222,-57.7528,76.05,97,100,1.95,light rain
269,Dingle,PH,10.9995,122.6711,77.14,90,73,5.99,broken clouds
270,Sinnamary,GF,5.3833,-52.95,76.71,87,93,13.35,light rain
271,Puro,PH,12.4841,123.3827,79.14,86,100,7.11,overcast clouds
272,Kisangani,CD,0.5167,25.2,74.77,83,100,4.27,overcast clouds
273,Berlevag,NO,70.8578,29.0864,33.75,60,0,14.97,clear sky
274,Komsomolskiy,UZ,40.4272,71.7189,47.12,87,40,4.61,mist
275,Ngaoundere,CM,7.3167,13.5833,74.5,16,60,9.48,broken clouds
276,Orotukan,RU,62.2667,151.7,-7.67,79,5,3.4,clear sky
277,Sioux Lookout,CA,50.1001,-91.917,42.87,87,75,6.91,broken clouds
278,Coihaique,CL,-45.5752,-72.0662,49.91,85,39,9.06,light rain
279,Klaksvik,FO,62.2266,-6.589,38.32,76,59,18.75,light rain
280,Nevelsk,RU,46.6733,141.8633,25.61,85,97,4.52,overcast clouds
281,Yuli,NG,9.6989,10.2744,79.88,15,56,7.54,broken clouds
282,Fortuna,US,40.5982,-124.1573,60.85,73,0,17.27,clear sky
283,Kaeo,NZ,-35.1,173.7833,71.33,76,100,7.99,overcast clouds
284,Ust-Koksa,RU,50.2696,85.6108,8.73,95,99,2.68,overcast clouds
285,Pangkalanbuun,ID,-2.6833,111.6167,72.72,96,73,1.1,broken clouds
286,Kruisfontein,ZA,-34.0033,24.7314,56.88,86,0,2.86,clear sky
287,Sahaspur,IN,29.1333,78.6167,68.13,51,33,5.1,scattered clouds
288,Gumdag,TM,39.2061,54.5906,41.77,78,100,9.55,overcast clouds
289,Bonthe,SL,7.5264,-12.505,75.96,91,34,5.21,scattered clouds
290,Shakawe,BW,-18.3667,21.85,73.11,58,100,4.23,overcast clouds
291,Gigmoto,PH,13.7796,124.39,79.39,88,97,5.95,overcast clouds
292,Bethel,US,41.3712,-73.414,63.45,56,0,11.5,clear sky
293,Kristiinankaupunki,FI,62.2743,21.376,30.0,87,0,9.64,clear sky
294,Tomatlan,MX,19.9333,-105.25,88.03,26,0,8.43,clear sky
295,Brawley,US,32.9787,-115.5303,88.05,15,0,12.66,clear sky
296,Ust-Maya,RU,60.4167,134.5333,0.43,96,100,3.33,overcast clouds
297,Puurmani,EE,58.5738,26.2878,33.91,97,39,2.51,scattered clouds
298,Tacuati,PY,-23.45,-56.5833,79.3,39,0,2.1,clear sky
299,Wote,KE,-1.7808,37.6288,67.8,68,67,0.63,broken clouds
300,Birin,NP,26.8865,88.0718,58.93,38,1,5.66,clear sky
301,Lagdo,CM,9.05,13.7333,81.54,14,16,4.99,few clouds
302,Finschhafen,PG,-6.6024,147.8681,82.85,73,99,3.2,overcast clouds
303,Puerto Escondido,MX,15.85,-97.0667,85.44,58,0,5.64,clear sky
304,Port Augusta,AU,-32.5,137.7667,76.17,64,70,9.4,broken clouds
305,Maine-Soroa,NE,13.2114,12.0241,71.8,19,61,10.16,broken clouds
306,Ekhabi,RU,53.5102,142.9671,23.63,91,100,9.35,overcast clouds
307,La Palma,US,33.8464,-118.0467,84.25,61,0,11.5,clear sky
308,Lompoc,US,34.6391,-120.4579,80.56,57,0,17.27,clear sky
309,Codrington,AU,-38.2667,141.9667,67.32,86,27,9.31,scattered clouds
310,Stefan Cel Mare,RO,46.9833,26.5167,31.05,92,100,3.44,light snow
311,Jesup,US,31.6074,-81.8854,80.53,44,40,0.0,scattered clouds
312,Abnub,EG,27.2696,31.1511,52.47,36,0,7.45,clear sky
313,Broken Hill,AU,-31.95,141.4333,74.03,60,96,5.1,overcast clouds
314,Saint-Philippe,RE,-21.3585,55.7679,78.39,90,29,7.07,scattered clouds
315,Cudahy,US,33.9606,-118.1853,85.51,52,0,4.61,clear sky
316,Dese,ET,11.1333,39.6333,55.02,80,99,1.72,overcast clouds
317,Chapayeve,UA,49.3662,35.8749,17.87,88,35,9.84,scattered clouds
318,Isangel,VU,-19.55,169.2667,83.35,77,100,3.91,overcast clouds
319,Cap Malheureux,MU,-19.9842,57.6142,78.48,90,25,5.57,light rain
320,Santa Cruz Das Palmeiras,BR,-21.8269,-47.2486,71.47,89,96,3.31,overcast clouds
321,San Antonio,US,29.4241,-98.4936,86.45,20,0,12.66,clear sky
322,Soyo,AO,-6.1349,12.3689,79.36,77,96,7.7,overcast clouds
323,Ulaanbaatar,MN,47.9077,106.8832,10.53,61,75,4.47,light snow
324,Basoko,CD,1.2391,23.616,72.72,88,96,4.88,overcast clouds
325,Mangrol,IN,21.1167,70.1167,76.03,72,5,12.59,clear sky
326,Gushikawa,JP,26.3544,127.8686,70.83,79,20,11.5,few clouds
327,Harper,LR,4.375,-7.7169,79.83,87,77,6.71,broken clouds
328,Kuliyapitiya,LK,7.4688,80.0401,82.08,88,100,2.53,overcast clouds
329,Revda,RU,56.801,59.9303,-2.36,99,14,4.29,few clouds
330,Fujinomiya,JP,35.2167,138.6167,52.95,63,52,2.42,broken clouds
331,Brigantine,US,39.4101,-74.3646,60.04,59,0,10.36,clear sky
332,Vanimo,PG,-2.6741,141.3028,78.39,89,100,5.68,light rain
333,Sur,OM,22.5667,59.5289,81.55,38,53,8.16,broken clouds
334,Asau,RO,46.4333,26.4,34.95,54,100,4.34,overcast clouds
335,Leningradskiy,RU,69.3833,178.4167,-7.53,91,69,9.95,broken clouds
336,Nova Venecia,BR,-18.7106,-40.4006,75.9,83,58,6.24,broken clouds
337,Bossangoa,CF,6.4926,17.4552,74.91,19,84,1.54,broken clouds
338,Tecoanapa,MX,16.5167,-98.75,84.6,58,0,10.49,clear sky
339,Lauro Muller,BR,-28.3928,-49.3967,68.79,69,75,0.54,broken clouds
340,Kargasok,RU,59.0556,80.8572,18.21,94,100,10.25,light snow
341,Kutum,SD,14.2,24.6667,55.74,16,4,12.82,clear sky
342,Tessalit,ML,20.1986,1.0114,79.79,15,85,8.32,overcast clouds
343,Anadyr,RU,64.75,177.4833,-8.9,77,20,13.42,fog
344,Nhulunbuy,AU,-12.2333,136.7667,77.61,94,54,0.0,broken clouds
345,Abu Samrah,SY,35.3029,37.1841,37.76,67,3,7.05,clear sky
346,Zaraza,VE,9.3503,-65.3245,82.44,60,99,10.0,light rain
