City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
238,Guerrero Negro,MX,67.35,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
239,Axim,GH,79.66,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
240,Arys,KZ,46.99,overcast clouds,42.4252,68.795,Gostinitsa
241,Three Hills,CA,31.73,overcast clouds,51.7001,-113.2686,Super 8 by Wyndham Three Hills AB
242,Lakes Entrance,AU,64.17,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
243,Vorontsovka,RU,16.38,overcast clouds,50.6132,40.3549,
244,San Cristobal,VE,78.24,light rain,7.7669,-72.225,Pirineos
245,Ahipara,NZ,63.48,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
246,Lagoa,PT,57.6,overcast clouds,39.05,-27.9833,Casa Das Faias
247,Khani,GE,24.37,snow,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
248,Sobolevo,RU,13.26,overcast clouds,54.4299,31.8996,
249,Bonavista,CA,24.73,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
251,Shu,KZ,41.13,overcast clouds,43.5983,73.7614,Shyngyzkhan
252,Olafsvik,IS,31.28,light snow,64.8945,-23.7142,Hotel Olafsvik
253,Eyemouth,GB,40.23,overcast clouds,55.8713,-2.0901,Redhall Cottage
254,Crawfordsville,US,71.31,clear sky,40.0411,-86.8745,"Holiday Inn Express & Suites Crawfordsville, an IHG Hotel"
255,Grand Baie,MU,78.46,light rain,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
257,Ananas,HT,79.59,clear sky,19.2466,-71.9557,
258,Takhtamygda,RU,2.08,overcast clouds,54.1,123.5667,
259,Janakkala,FI,22.68,few clouds,60.9,24.6,Sun Hotels Oy
260,Awjilah,LY,55.6,clear sky,29.1081,21.2869,المنزل
261,Tevaitoa,PF,81.21,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
262,Ayan,RU,15.46,light snow,56.45,138.1667,Gostinitsa
263,Vilhena,BR,73.24,moderate rain,-12.7406,-60.1458,Hotel Mirage
264,Erzurum,TR,11.88,overcast clouds,40.0,41.5,Saksi Koyu Muhtarligi
265,Russell,US,68.97,light rain,32.3502,-85.1999,Macs
266,Fazalpur,PK,64.74,clear sky,32.1833,75.0667,Riaz Sweets Shop
267,Mantua,IT,54.64,overcast clouds,45.1667,10.7833,Hotel la Favorita
268,Jacareacanga,BR,76.05,light rain,-6.2222,-57.7528,Casa do Ian😎
269,Dingle,PH,77.14,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
270,Sinnamary,GF,76.71,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
271,Puro,PH,79.14,overcast clouds,12.4841,123.3827,
272,Kisangani,CD,74.77,overcast clouds,0.5167,25.2,Grand Ramela Hotel
273,Berlevag,NO,33.75,clear sky,70.8578,29.0864,Kvitbrakka
274,Komsomolskiy,UZ,47.12,mist,40.4272,71.7189,Ikathouse
275,Ngaoundere,CM,74.5,broken clouds,7.3167,13.5833,Hotel Mentong Palace
277,Sioux Lookout,CA,42.87,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
278,Coihaique,CL,49.91,light rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
279,Klaksvik,FO,38.32,light rain,62.2266,-6.589,Airbnb rooms
280,Nevelsk,RU,25.61,overcast clouds,46.6733,141.8633,Gostinitsa Viktoriya
281,Yuli,NG,79.88,broken clouds,9.6989,10.2744,
282,Fortuna,US,60.85,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
283,Kaeo,NZ,71.33,overcast clouds,-35.1,173.7833,Bushido Lodge
284,Ust-Koksa,RU,8.73,overcast clouds,50.2696,85.6108,Uymonskaya Dolina
285,Pangkalanbuun,ID,72.72,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
286,Kruisfontein,ZA,56.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
287,Sahaspur,IN,68.13,scattered clouds,29.1333,78.6167,Mujeeb Ahmd
288,Gumdag,TM,41.77,overcast clouds,39.2061,54.5906,
289,Bonthe,SL,75.96,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
290,Shakawe,BW,73.11,overcast clouds,-18.3667,21.85,Ditlhapi Guest House
291,Gigmoto,PH,79.39,overcast clouds,13.7796,124.39,Cj's Travellers Inn
292,Bethel,US,63.45,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
293,Kristiinankaupunki,FI,30.0,clear sky,62.2743,21.376,Hotel Alma
294,Tomatlan,MX,88.03,clear sky,19.9333,-105.25,El Salvial
295,Brawley,US,88.05,clear sky,32.9787,-115.5303,Brawley Inn Hotel & Conference Center
296,Ust-Maya,RU,0.43,overcast clouds,60.4167,134.5333,
297,Puurmani,EE,33.91,scattered clouds,58.5738,26.2878,Puurmani Guesthouse
298,Tacuati,PY,79.3,clear sky,-23.45,-56.5833,
299,Wote,KE,67.8,broken clouds,-1.7808,37.6288,SAVANAH HOTEL
